"用例编号","级别","一级模块","二级模块","功能","验证点","前置条件","测试步骤","测试数据","预期结果","测试结果","执行人","执行时间","编写人","编写时间","备注"
"APS_JCPZ_0893","高级","基础配置","供应商管理","数据权限","验证角色配置「本部门数据」数据权限时，授权用户查看供应商管理列表的数据范围","1.已登录系统
2.已在角色管理为测试角色配置数据权限为「本部门数据」
3.已为测试账号分配该角色
4.系统已存在多级部门及分属不同部门创建的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的部门归属（按数据创建人所在部门判断）","数据权限:本部门数据
测试账号:（已分配角色的测试账号）","1. 列表仅展示测试账号所在部门创建的供应商数据
2. 下级部门及其他部门创建的供应商数据不展示
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0894","高级","基础配置","供应商管理","数据权限","验证角色配置「仅本人数据」数据权限时，授权用户查看供应商管理列表的数据范围","1.已登录系统
2.已在角色管理为测试角色配置数据权限为「仅本人数据」
3.已为测试账号分配该角色
4.系统已存在多级部门及分属不同部门创建的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的部门归属（按数据创建人所在部门判断）","数据权限:仅本人数据
测试账号:（已分配角色的测试账号）","1. 列表仅展示测试账号本人创建的供应商数据
2. 本部门其他人员及其他部门创建的供应商数据不展示
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0895","高级","基础配置","供应商管理","数据权限","验证角色配置「自定义分配部门」数据权限时，授权用户查看供应商管理列表的数据范围","1.已登录系统
2.已在角色管理为测试角色配置数据权限为「自定义分配部门」
3.已为测试账号分配该角色
4.系统已存在多级部门及分属不同部门创建的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的部门归属（按数据创建人所在部门判断）","数据权限:自定义分配部门
测试账号:（已分配角色的测试账号）","1. 列表仅展示角色自定义分配部门创建的供应商数据
2. 未分配部门创建的供应商数据不展示
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0896","高级","基础配置","供应商管理","数据权限","验证范围表+「全部数据」数据权限时，供应商管理列表双重过滤取交集是否正常","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商名称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限为「全部数据」
4.已为测试账号分配该角色
5.测试账号所在部门及多级部门已存在供应商测试数据（含本部门/下级/其他分支，确保交集、差集场景均可验证）","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商名称」字段值及部门归属（按数据创建人所在部门判断）","基准范围表:数据字段「供应商名称」，校验规则「包含」，条件值「测试」
数据权限:全部数据
测试账号:（已分配角色的测试账号）","1. 全部组织中符合范围条件（供应商名称包含「测试」）的供应商数据可见
2. 范围外供应商数据不展示
3. 无部门层级限制
4. 列表数据条数与交集数据一致
5. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0897","高级","基础配置","供应商管理","数据权限","验证范围表+「本部门及以下数据」数据权限时，供应商管理列表双重过滤取交集是否正常","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商名称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限为「本部门及以下数据」
4.已为测试账号分配该角色
5.测试账号所在部门及多级部门已存在供应商测试数据（含本部门/下级/其他分支，确保交集、差集场景均可验证）","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商名称」字段值及部门归属（按数据创建人所在部门判断）","基准范围表:数据字段「供应商名称」，校验规则「包含」，条件值「测试」
数据权限:本部门及以下数据
测试账号:（已分配角色的测试账号）","1. 测试账号所在部门及其下级部门中，符合范围条件（供应商名称包含「测试」）的供应商数据可见（双重过滤取交集）
2. 范围外或部门外的供应商数据不展示
4. 列表数据条数与交集数据一致
5. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0898","高级","基础配置","供应商管理","数据权限","验证范围表+「本部门数据」数据权限时，供应商管理列表双重过滤取交集是否正常","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商名称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限为「本部门数据」
4.已为测试账号分配该角色
5.测试账号所在部门及多级部门已存在供应商测试数据（含本部门/下级/其他分支，确保交集、差集场景均可验证）","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商名称」字段值及部门归属（按数据创建人所在部门判断）","基准范围表:数据字段「供应商名称」，校验规则「包含」，条件值「测试」
数据权限:本部门数据
测试账号:（已分配角色的测试账号）","1. 测试账号所在部门中，符合范围条件（供应商名称包含「测试」）的供应商数据可见（双重过滤取交集）
2. 范围外或部门外的供应商数据不展示
4. 列表数据条数与交集数据一致
5. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0899","高级","基础配置","供应商管理","数据权限","验证范围表+「仅本人数据」数据权限时，供应商管理列表双重过滤取交集是否正常","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商名称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限为「仅本人数据」
4.已为测试账号分配该角色
5.测试账号所在部门及多级部门已存在供应商测试数据（含本部门/下级/其他分支，确保交集、差集场景均可验证）","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商名称」字段值及部门归属（按数据创建人所在部门判断）","基准范围表:数据字段「供应商名称」，校验规则「包含」，条件值「测试」
数据权限:仅本人数据
测试账号:（已分配角色的测试账号）","1. 测试账号本人创建的、符合范围条件（供应商名称包含「测试」）的供应商数据可见（双重过滤取交集）
2. 范围外或非本人创建的供应商数据不展示
4. 列表数据条数与交集数据一致
5. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0900","高级","基础配置","供应商管理","数据权限","验证范围表+「自定义分配部门」数据权限时，供应商管理列表双重过滤取交集是否正常","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商名称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限为「自定义分配部门」
4.已为测试账号分配该角色
5.测试账号所在部门及多级部门已存在供应商测试数据（含本部门/下级/其他分支，确保交集、差集场景均可验证）","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商名称」字段值及部门归属（按数据创建人所在部门判断）","基准范围表:数据字段「供应商名称」，校验规则「包含」，条件值「测试」
数据权限:自定义分配部门
测试账号:（已分配角色的测试账号）","1. 角色自定义分配部门中，符合范围条件（供应商名称包含「测试」）的供应商数据可见（双重过滤取交集）
2. 范围外或未分配部门的供应商数据不展示
4. 列表数据条数与交集数据一致
5. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0901","高级","基础配置","供应商管理","数据权限","验证多角色叠加时，供应商管理列表数据可见范围符合系统叠加规则","1.已登录系统
2.已为测试账号分配多个角色，各角色配置了不同的数据权限及范围表
3.供应商列表已存在分属不同范围条件的数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 核对列表数据范围与各角色权限合集的关系","测试账号:（已分配多个角色的测试账号）","1. 列表数据可见范围符合系统叠加规则（并集/优先级规则，以产品设计为准）
2. 不出现超出角色权限合集的数据
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0902","高级","基础配置","供应商管理","数据权限","验证导出时数据范围及数据权限过滤生效，导出文件仅含权限范围内数据","1.已登录系统
2.已为测试账号配置数据权限及范围表
3.供应商列表已存在符合与不符合范围条件的数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 记录当前列表数据条数
步骤4: 执行导出操作
步骤5: 打开导出文件核对数据内容及条数","测试账号:（已配置数据权限及范围表的测试账号）","1. 导出文件仅包含权限范围内的供应商数据，无越权数据
2. 导出数据条数与列表展示条数一致
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0903","中级","基础配置","供应商管理","数据权限","验证取消用户角色授权后，数据权限及字段范围不再生效","1.已登录系统
2.测试账号原已分配配置了数据权限及范围表的角色
3.管理员已取消该测试账号的角色授权","步骤1: 管理员在用户管理中取消测试账号的角色授权
步骤2: 使用测试账号重新登录系统
步骤3: 查看基础配置-供应商管理菜单及列表数据","测试账号:（已取消角色授权的测试账号）","1. 供应商管理菜单/数据随授权回收
2. 原数据权限及字段范围过滤不再生效
3. 无残留权限","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
